skill
python
java
sql
machine learning
deep learning
streamlit
django
flask
react
aws
docker
kubernetes
git
tensorflow
pytorch
nlp
data analysis
tableau
power bi
excel
communication
leadership
agile
rest api
mongodb
mysql
postgresql
html
css
javascript
typescript
figma
linux
bash
scala
r
hadoop
spark
azure
gcp
computer vision
data visualization
statistics
